Region,Rainfall,Education,Popden,Nonwhite,NOX,SO2,Mortality
A,36,11.4,3243,8.8,15,59,921.9
B,35,11,4281,3.5,10,39,997.9
C,44,9.8,4260,0.8,6,33,962.4
D,47,11.1,3125,27.1,8,24,982.3
E,43,9.6,6441,24.4,38,206,1071
F,53,10.2,3325,38.5,32,72,1030
G,43,12.1,4679,3.5,32,62,934.7
H,45,10.6,2140,5.3,4,4,899.5
I,36,10.5,6582,8.1,12,37,1002
J,36,10.7,4213,6.7,7,20,912.3
K,52,9.6,2302,22.2,8,27,1018
M,33,10.9,6122,16.3,63,278,1025
N,40,10.2,4101,13,26,146,970.5
L,35,11.1,3042,14.7,21,64,986
O,37,11.9,4259,13.1,9,15,958.8
P,35,11.8,1441,14.8,1,1,860.1
Q,36,11.4,4029,12.4,4,16,936.2
R,15,12.2,4824,4.7,8,28,871.8
S,31,10.8,4834,15.8,35,124,959.2
T,30,10.8,3694,13.1,4,11,941.2
U,31,11.4,1844,11.5,1,1,891.7
V,31,10.9,3226,5.1,3,10,871.3
W,42,10.4,2269,22.7,3,5,971.1
X,43,11.5,2909,7.2,3,10,887.5
Y,46,11.4,2647,21,5,1,952.5
Z,39,11.4,4412,15.6,7,33,968.7
AA,35,12,3262,12.6,4,4,919.7
AB,43,9.5,3214,2.9,7,32,844.1
AC,11,12.1,4700,7.8,319,130,861.8
AD,30,9.9,4474,13.1,37,193,989.3
AE,50,10.4,3497,36.7,18,34,1006
AF,60,11.5,4657,13.5,1,1,861.4
AG,30,11.1,2934,5.8,23,125,929.2
AH,25,12.1,2095,2,11,26,857.6
AI,45,10.1,2082,21,14,78,961
AJ,46,11.3,3327,8.8,3,8,923.2
AK,54,9.7,3172,31.4,17,1,1113
AM,42,10.7,7462,11.3,26,108,994.6
AN,42,10.5,6092,17.5,32,161,1015
AL,36,10.6,3437,8.1,59,263,991.3
AO,37,12,3387,3.6,21,44,894
AP,42,10.1,3508,2.2,4,18,938.5
AQ,41,9.6,4843,2.7,11,89,946.2
AR,44,11,3768,28.6,9,48,1026
AS,32,11.1,4355,5,4,18,874.3
AT,34,9.7,5160,17.2,15,68,953.6
AU,10,12.1,3033,5.9,66,20,839.7
AV,18,12.2,4253,13.7,171,86,911.7
AW,13,12.2,2702,3,32,3,790.7
AX,35,12.2,3626,5.7,7,20,899.3
AY,45,11.1,1883,3.4,4,20,904.2
AZ,38,11.4,4923,3.8,5,25,950.7
BA,31,10.7,3249,9.5,7,25,972.5
BB,40,10.3,1671,2.5,2,11,912.2
BC,41,12.3,5308,25.9,28,102,968.8
BD,28,12.1,3665,7.5,2,1,823.8
BE,45,11.3,3152,12.1,11,42,1004
BF,45,11.1,3678,1,3,8,895.7
BG,42,9,9699,4.8,8,49,911.8
BH,38,10.7,3451,11.7,13,39,954.4